date;delta;mag;place;;
2019-05-26;280;8;78km SE of Lagunas; Peru;
2018-08-19;345;8.2;286km NNE of Ndoi Island; Fiji;
2017-09-08;723;8.2;101km SSW of Tres Picos; Mexico;
2015-09-16;533;8.3;48km W of Illapel; Chile;
2014-04-01;312;8.2;94km NW of Iquique; Chile;
2013-05-24;107;8.3;Sea of Okhotsk;;
2013-02-06;301;8;76km W of Lata; Solomon Islands;
2012-04-11;0;8.2;off the west coast of northern Sumatra;;
2012-04-11;397;8.6;off the west coast of northern Sumatra;;
2011-03-11;377;9.1;2011 Great Tohoku Earthquake; Japan;
2010-02-27;151;8.8;offshore Bio-Bio; Chile;
2009-09-29;748;8.1;Samoa Islands region;;
2007-09-12;28;8.4;southern Sumatra; Indonesia;
2007-08-15;136;8;near the coast of central Peru;;
2007-04-01;78;8.1;Solomon Islands;;
2007-01-13;59;8.1;east of the Kuril Islands;;
2006-11-15;196;8.3;Kuril Islands;;
2006-05-03;401;8;Tonga;;
2005-03-28;92;8.6;northern Sumatra; Indonesia;
2004-12-26;3;9.1;2004 Sumatra - Andaman Islands Earthquake;;
2004-12-23;455;8.1;north of Macquarie Island;;
2003-09-25;824;8.16;Hokkaido; Japan region;
2001-06-23;219;8.4;near the coast of southern Peru;;
2000-11-16;967;8;New Ireland region; Papua New Guinea;
1998-03-25;767;8.1;Balleny Islands region;;
1996-02-17;131;8.09;Biak region; Indonesia;
1995-10-09;71;8;Colima; Mexico;
1995-07-30;299;8;Antofagasta; Chile;
1994-10-04;117;8.3;Kuril Islands;;
1994-06-09;1843;8.2;La Paz; Bolivia;
1989-05-23;1112;8.02;Macquarie Island region;;
1986-05-07;230;8;Andreanof Islands; Aleutian Islands; Alaska
1985-09-19;200;8;Michoacan; Mexico;
1985-03-03;2753;8;offshore Valparaiso; Chile;
1977-08-19;583;8.3;south of Sumbawa; Indonesia;
1976-01-14;1138;8;Kermadec Islands region;;
1972-12-02;495;8;Mindanao; Philippines;
1971-07-26;12;8.1;New Ireland region; Papua New Guinea;
1971-07-14;348;8;New Ireland region; Papua New Guinea;
1970-07-31;354;8;Colombia;;
1969-08-11;452;8.2;Kuril Islands;;
1968-05-16;577;8.2;off the east coast of Honshu; Japan;
1966-10-17;620;8.1;near the coast of central Peru;;
1965-02-04;11;8.7;Rat Islands; Aleutian Islands; Alaska
1965-01-24;302;8.2;Kepulauan Sula; Indonesia;
1964-03-28;145;9.2;1964 Prince William Sound Earthquake; Alaska;
1963-11-04;22;8.1;Banda Sea;;
1963-10-13;;8.5;Kuril Islands;;
